STATEFP,COUNTYFP,NAME,NAMELSAD,AGENCY,LARNAME,Tribe Name,State has Criminal Jurisdiction?,PL280?,Retrocession?,Retrocession Date,Partial Jurisdiction?,notes,citations,Uncertain/Needs lawyer confirmation,Error
42,123,Warren,Warren County,Unknown,Allegany LAR,Seneca Nation of Indians,,,,,,"This reservation is mostly in NY, where the state has jurisdiction. Could not find any information about Pennsylvania. Maps says reservation is entirely in NY",,,1
53,63,Spokane,Spokane County,Coeur d'Alene,Coeur D'Alene LAR,Coeur d'Alene,,,,,,not in washington state,,,1
53,75,Whitman,Whitman County,Coeur d'Alene,Coeur D'Alene LAR,Coeur d'Alene,,,,,,not in washington state,,,1
1,53,Escambia,Escambia County,Eastern Regional Office,Poarch Creek LAR,Escambia,0,,,,,,,,
1,51,Elmore,Elmore County,Eastern Regional Office,Poarch Creek LAR,Elmore,0,,,,,,,,
1,101,Montgomery,Montgomery County,Eastern Regional Office,Poarch Creek LAR,Montgomery,0,,,,,,,,
2,130,Ketchikan Gateway,Ketchikan Gateway Borough,Unknown,Annette Island LAR,Metlakatla,0,,,,,Public Law 280 provides an exception for the Metlakatla Indian Community on the Annette Islands.,"Understanding Tribal-State Jurisdiction. (n.d.). Native American Rights Fund. Retrieved August 13, 2025, from https://narf.org/tribal-state-jurisdiction/",,
2,198,Prince of Wales-Hyder,Prince of Wales-Hyder Census Area,Unknown,Annette Island LAR,Metlakatla,0,,,,,Public Law 280 provides an exception for the Metlakatla Indian Community on the Annette Islands.,,,
4,27,Yuma,Yuma County,Fort Yuma,Cocopah LAR,Cocopah Tribe,0,,,,,Arizona jurisdiction is unclear to me,"Act of Sept 18, 1978, Pub. L. No 95-375, 92 Stat 712. https://www.congress.gov/95/statute/STATUTE-92/STATUTE-92-Pg712.pdf.",yes,
4,12,La Paz,La Paz County,Colorado River,Colorado River LAR,Colorado River Indian Tribes,0,,,,,,,,
4,17,Navajo,Navajo County,Fort Apache,Fort Apache LAR,White Mountain Apache Tribe,0,,,,,,,,
4,5,Coconino,Coconino County,Fort Apache,Fort Apache LAR,White Mountain Apache Tribe,0,,,,,,,,
